1;Dom Casmurro;Machado de Assis;Romance;true;0
2;O Senhor dos Anéis;J.R.R. Tolkien;Fantasia;true;0
3;Duna;Frank Herbert;Ficção Científica;true;0
4;Harry Potter e a Pedra Filosofal;J.K. Rowling;Fantasia;true;0
5;It: A Coisa;Stephen King;Terror;true;0
6;Orgulho e Preconceito;Jane Austen;Romance;true;0
7;O Hobbit;J.R.R. Tolkien;Fantasia;true;0
8;1984;George Orwell;Distopia;true;0
9;O Iluminado;Stephen King;Terror;true;0
10;O Diário de Anne Frank;Anne Frank;Drama;true;0
11;Percy Jackson e o Ladrão de Raios;Rick Riordan;Fantasia;true;0
12;As Crônicas de Nárnia;C.S. Lewis;Fantasia;true;0
13;Jogos Vorazes;Suzanne Collins;Distopia;true;0
14;O Guia do Mochileiro das Galáxias;Douglas Adams;Ficção Científica;true;0
15;Sherlock Holmes;Arthur Conan Doyle;Mistério;true;0
16;A Metamorfose;Franz Kafka;Drama;true;0
17;Romeu e Julieta;William Shakespeare;Romance;true;0
18;A Culpa é das Estrelas;John Green;Drama;true;0
19;Fundação;Isaac Asimov;Ficção Científica;true;0
20;O Sol é Para Todos;Harper Lee;Drama;true;0
21;O Nome do Vento;Patrick Rothfuss;Fantasia;true;0
22;Coraline;Neil Gaiman;Fantasia;true;0
23;Como Eu Era Antes de Você;Jojo Moyes;Romance;true;0
24;Neuromancer;William Gibson;Ficção Científica;true;0
25;A Revolução dos Bichos;George Orwell;Distopia;true;0
